Date,Time,Venue,Home Team,Away Team,Home Score,Away Score,CHANGED
"Sunday, December 7, 2025",10:00 AM PST,Lake Stevens High School,Lake Stevens,Shorewood,33,13,no
"Sunday, December 7, 2025",12:30 PM PST,Snohomish High School,Snohomish,Shorewood,44,17,no
"Sunday, December 14, 2025",3:45 PM PST,Port Susan MS,Stanwood,Shorewood,53,5,no
"Sunday, December 21, 2025",11:45 AM PST,Shorewood High School,Shorewood,Mountlake Terrace,15,41,no
"Sunday, December 21, 2025",9:15 AM PST,Shorewood High School,Shorewood,Edmonds-Woodway,17,19,no
"Sunday, January 4, 2026",10:15 AM PST,Shorewood High School,Shorewood,King's,13,45,no
"Sunday, January 11, 2026",11:00 AM PST,Shorewood High School,Shorewood,Monroe,7,33,no
"Sunday, January 11, 2026",1:30 PM PST,Shorewood High School,Shorewood,Cedarcrest,22,19,no
"Sunday, January 25, 2026",11:30 AM PST,Valley View Middle School,Glacier Peak,Shorewood,,,YES
"Sunday, January 25, 2026",9:00 AM PST,Jackson High School,Jackson,Shorewood,,,YES
"Sunday, February 1, 2026",11:15 AM PST,Shorewood High School,Shorewood,Meadowdale,,,no
"Sunday, February 1, 2026",1:45 PM PST,Shorewood High School,Shorewood,Kamiak,,,no
"Sunday, February 22, 2026",12:30 PM PST,Shorewood High School,Shorewood,Arlington,,,no
"Sunday, February 22, 2026",3:00 PM PST,Shorewood High School,Shorewood,Everett,,,no
