Date,Time,Venue,Home Team,Away Team,Home Score,Away Score,CHANGED
"Sunday, December 7, 2025",12:30 PM PST,Lake Stevens High School,Lake Stevens,Shorewood,8,4,no
"Sunday, December 7, 2025",3:00 PM PST,Snohomish High School,Snohomish,Shorewood,10,12,no
"Sunday, December 14, 2025",12:00 PM PST,Port Susan MS,Stanwood,Shorewood,31,15,no
"Sunday, December 14, 2025",3:45 PM PST,Lake Stevens High School,Lake Stevens,Shorewood,15,11,no
"Sunday, December 21, 2025",12:00 PM PST,Mike Martin Gym,King's,Shorewood,14,22,no
"Sunday, December 21, 2025",2:15 PM PST,Shorewood High School,Shorewood,Meadowdale,21,4,no
"Sunday, January 4, 2026",12:45 PM PST,Shorewood High School,Shorewood,Glacier Peak,,,no
"Sunday, January 4, 2026",9:00 AM PST,Shorewood High School,Shorewood,Arlington,,,no
"Sunday, January 11, 2026",9:30 AM PST,Marysville-Pilchuck High School,Getchell,Shorewood,,,no
"Sunday, February 1, 2026",12:30 PM PST,Shorewood High School,Shorewood,Kamiak,,,no
"Sunday, February 1, 2026",3:00 PM PST,Shorewood High School,Shorewood,Meadowdale,,,no
"Sunday, February 22, 2026",11:15 AM PST,Shorewood High School,Shorewood,Arlington,,,no
